1;633801;787631;4831
2;169364;205610;5826
3;624081;670441;74451
4;782246;591410;61449
5;338420;204078;27498
6;438532;581929;80400
7;805570;592179;92921
8;998383;572991;33659
9;788405;872314;7928
10;631091;392005;71511
11;483083;578703;14913
12;306902;61760;44575
13;592894;871395;13977
14;943993;718129;67065
15;699471;340925;96866
16;670740;314748;92633
17;192342;983705;98627
18;498027;880322;21696
19;453461;30096;8761
20;723390;86522;93161
21;182788;798932;56820
22;177008;646408;33432
23;133488;975969;10094
24;724961;276799;28756
25;870423;823939;99624
26;304081;333867;87834
27;301009;318991;548
28;789539;905257;4965
29;643384;81943;73579
30;22694;31083;44250
31;385154;343730;15563
32;562221;463722;4886
33;858898;755281;57872
34;579177;967317;8299
35;950514;37008;96464
36;670087;877534;19420
37;737587;816007;86928
38;327261;239099;20028
39;933732;238014;31845
40;905113;408578;54898
41;120609;103949;52678
42;145357;396742;478
43;962382;208644;19902
44;219470;182665;16298
45;44250;944807;83823
46;529901;779445;62954
47;169984;674301;19974
48;265462;419064;87687
49;668146;617795;44845
50;665718;797979;6181
51;316420;34244;55809
52;910955;754889;17433
53;364014;788024;32678
54;878582;2079;2844
55;468355;273819;1401
56;701268;200199;45807
57;715893;744138;21
58;711613;316259;13924
59;74352;507329;65061
60;839456;136916;17463
61;477476;163772;79886
62;655220;804249;51963
63;980461;581905;59769
64;369518;909060;35943
65;680590;344591;17846
66;18728;65591;21264
67;51307;68284;11027
68;281736;807917;28632
69;48608;811224;27886
70;564120;409323;39824
71;702505;72456;91298
72;640977;330605;128
73;785274;393392;26388
74;897456;623696;33888
75;89184;811672;97968
76;45342;27109;35945
77;309534;646684;89218
78;353912;932873;76477
79;901645;742440;41164
80;749534;143015;33343
81;224188;965698;64470
82;743910;811542;21552
83;205542;369382;26448
84;634870;184152;96737
85;65530;255796;76419
86;671160;41556;88378
87;399618;625229;5945
88;483572;667422;68793
89;224085;994204;64616
90;634456;81447;87138
91;140564;441748;32012
92;318097;537551;77
93;371344;124760;82188
94;987234;361584;8993
95;835245;234431;99499
96;455245;225892;32110
97;155796;872070;12826
98;117855;75347;89415
99;648537;432357;30491
100;113339;438113;56787
101;27060;626318;57361
102;532685;899921;88379
103;75399;733954;7306
104;746929;905283;46344
105;278499;847297;47642
106;42295;773902;80209
107;145513;974387;30289
108;568350;495009;74858
109;27948;726484;24251
110;831734;794524;66501
111;934823;308116;59556
112;320221;804976;35851
113;389423;956018;25582
114;748509;388735;49741
115;488494;25705;5386
116;942457;667421;79808
117;982394;254672;56847
118;155287;835289;35845
119;171444;431730;90323
120;918255;748200;55320
121;629223;554142;30069
122;404476;846313;3995
123;480576;266452;99599
124;786230;474634;22081
125;3516;447867;26959
126;514588;947188;51991
127;798842;730502;72335
128;596294;48981;30703
129;590952;184978;26273
130;568042;862692;46753
131;105032;757841;19694
132;324848;350306;66324
133;290750;977006;68747
134;351813;649977;74314
135;77988;760749;35833
136;906727;81909;16834
137;704790;756878;75692
138;572046;417543;21149
139;161365;756468;24615
140;795229;1735;19947
141;270310;856147;81191
142;530593;807918;23438
143;285498;32131;64018
144;168476;984898;24200
145;307300;453717;50726
146;359271;305094;4846
147;101880;370130;61692
148;935159;577540;80290
149;928930;630693;62394
150;503125;318722;35501
151;243211;588675;40755
152;562368;456702;74283
153;659385;734166;53430
154;865359;756342;60809
155;214934;813630;62089
156;722605;362338;74671
157;152387;672801;97693
158;651185;382886;14178
159;73296;361123;63320
160;774407;964139;70099
161;495782;21039;13180
162;38173;868668;83493
163;999152;480616;30819
164;578735;570299;26442
165;232588;18851;15079
166;567422;551090;5234
167;138086;408955;46568
168;460879;850999;10486
169;231091;917100;81839
170;659241;50136;34287
171;809704;993946;31779
172;495236;974458;32585
173;211850;867333;93811
